,I.1a,I.1b,I.2,II,III.a,III.b,IV.1a,IV.1b,IV.2
10,0.7268190307360395,0.8005245456426376,0.785414289563962,1.273668162061249,0.48888622415411337,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
11,0.9607822364112374,0.6890360177301745,0.8277530109082816,1.2828932833229776,0.43155057557658205,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
12,1.2750189725186305,0.37563525498093764,0.8214772057654999,1.2178021478385088,0.4866620551400563,2.220446049250313e-16,2.220446049250313e-16,0.06302214775259225,2.220446049250313e-16
13,1.7823578061713194,0.36344258104934224,0.7227382731827618,1.0268853627944636,0.37946908980780014,2.220446049250313e-16,2.220446049250313e-16,0.03441184351054099,2.220446049250313e-16
14,1.8636994621590615,0.4704471620563816,0.7361528580920629,0.7034172527825289,0.4641071540474532,2.220446049250313e-16,0.12606602708168496,2.220446049250313e-16,2.220446049250313e-16
15,1.404767604543359,2.220446049250313e-16,1.4664323531695018,0.9852138886643281,0.3903662775608347,4.8429789116576894e-14,0.031907714040251486,2.220446049250313e-16,2.220446049250313e-16
16,0.996522218881402,2.220446049250313e-16,1.896501569826163,0.8894363265020734,0.3077364282568762,0.2606121014795241,0.10165076713567309,2.220446049250313e-16,2.220446049250313e-16
17,0.6111579865957601,0.15397346034882692,2.4054848669547386,0.9315166041172176,0.16017718401492315,0.11430179521529721,2.220446049250313e-16,0.13028478681858055,2.220446049250313e-16
18,0.14349276196080582,2.220446049250313e-16,2.912728024372989,1.1237067634328717,2.220446049250313e-16,0.30398065956399406,0.022671701755345518,0.12065461428993633,2.220446049250313e-16
19,0.8052139034924545,2.220446049250313e-16,2.4237015819884253,0.8415151554582208,0.5235214661229319,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
20,0.26036335906907354,2.220446049250313e-16,3.125505579399728,0.7292947608635959,0.4025646349659183,2.220446049250313e-16,9.59056768022848e-15,0.1041139575576543,2.220446049250313e-16
21,2.220446049250313e-16,2.220446049250313e-16,3.5693729698752885,0.8461306958865079,0.06437766772350989,0.04838189640251076,0.04350871628701905,0.07453535062254035,2.220446049250313e-16
22,2.220446049250313e-16,2.220446049250313e-16,4.221668115552384,0.5873183029123474,2.220446049250313e-16,2.220446049250313e-16,0.09447197834732782,2.220446049250313e-16,2.220446049250313e-16
23,2.220446049250313e-16,2.220446049250313e-16,4.152861467647606,0.5932119865444863,2.220446049250313e-16,2.220446049250313e-16,0.029700296181823058,0.0610190085699352,0.005793181711151928
24,2.220446049250313e-16,2.220446049250313e-16,3.495736015339339,0.9590001984518907,0.047817172207864946,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
25,2.220446049250313e-16,0.05179314997641405,3.094648365513876,1.1751456149542119,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
